Date,Time,Position Name,Position Type,Company Name,Status,Location,Action Period,CV_CL_RL_CR
06.03.2025,21:10,Junior IT Engineer Workplace Technology,Developer,Company 71,Not selected,Berlin,4.0,1000.0
06.03.2025,21:20,Data Engineer,Data Engineer,Company 71,Not selected,Berlin,1.0,1100.0
10.03.2025,18:15,ML Engineer - NLP,Machine Learning,Company 72,Not selected,Berlin,1.0,1011.0
10.03.2025,18:20,Data Analysis,Data Analysis,Company 73,Waiting,Berlin,,1000.0
10.03.2025,18:30,Junior Data Engineer,Data Engineer,Company 74,Not selected,Berlin,3.0,1011.0
13.03.2025,1:20,Junior Data Analyst,Data Analysis,Company 75,Not selected,Berlin,12.0,1100.0
16.03.2025,23:15,"Data Scientist - (Logistics, Choice)",Data Science,Company 4,Not selected,Berlin,19.0,1011.0
17.03.2025,10:55,Junior AI Solution Engineer,Data Engineer,Company 75,Not selected,Berlin,9.0,1100.0
18.03.2025,14:20,Data Engineer,Data Engineer,Company 76,Not selected,Berlin,2.0,1000.0
18.03.2025,16:15,Applied Scientist,Data Engineer,Company 27,Not selected,Berlin,2.0,1100.0
24.03.2025,15:55,Analytics and Data Intelligence Associated,Data Analysis,Company 36,Not selected,Potsdam,1.0,1111.0
28.03.2025,13:50,Machine Learning Engineer,Machine Learning,Company 77,Not selected,Berlin,7.0,1000.0
28.03.2025,14:10,Data Scientist,Data Science,Company 78,Not selected,Berlin,0.0,1111.0
28.03.2025,14:20,Associated Data Engineer,Data Engineer,Company 79,Not selected,Belrin,3.0,1000.0
30.03.2025,20:10,Junior Data Analyst Financial Empowerment,Data Analysis,Company 21,Not selected,Berlin,18.0,1000.0
30.03.2025,15:25,Junior Data Scientist,Data Science,Company 80,Not selected,Berlin,53.0,1111.0
07.04.2025,11:00,Data Insights - Marketing Analyst,Data Analysis,Company 81,Not selected,Berlin,3.0,1111.0
07.04.2025,11:25,Full Stack Software Development,Developer,Company 82,Not selected,Berlin,21.0,1111.0
07.04.2025,12:05,Data Scientist,Data Science,Company 83,Interview,Berlin,,1000.0
21.04.2025,21:00,Data Engineer,Data Engineer,Company 41,Not selected,Berlin,8.0,1000.0
14.05.2025,20:11,Machine Learning Engineer,Machine Learning,Company 84,Waiting,Berlin,,1000.0
17.05.2025,9:28,AI Software Engineer,Developer,Company 85,Waiting,Berlin,,1000.0
17.05.2025,9:35,Research Assistant,Machine Learning,Company 86,Waiting,Berlin,,1000.0
17.05.2025,9:52,Record Spacialist,Developer,Company 87,Waiting,Remote,,1000.0
17.05.2025,10:07,Junior Data Architect,Data Engineer,Company 88,Waiting,Berlin,,1000.0
17.05.2025,11:40,Data Science,Data Science,Company 89,Not selected,Berlin,4.0,1100.0
17.05.2025,12:03,Data Science (Global Ranking),Data Science,Company 4,Waiting,Berlin,,1100.0
17.05.2025,12:06,Data Analysis,Data Analysis,Company 90,SCAM,Berlin,,1100.0
17.05.2025,12:49,Marketing Data Analysis,Data Analysis,Company 91,Waiting,Berlin,,1100.0
21.05.2025,13:44,Data Science,Data Science,Company 92,Not selected,Berlin,1.0,1111.0
21.05.2025,13:47,Junior Data Analysis,Data Analysis,Company 93,Not selected,Berlin,29.0,1000.0
21.05.2025,13:51,Data Analysis,Data Analysis,Company 94,SCAM,Berlin,,1000.0
22.05.2025,13:07,Junior Data Analysis,Data Analysis,Company 95,Not selected,Berlin,4.0,1000.0
23.05.2025,13:05,Article Pipeline Data Analysis,Data Analysis,Company 96,Not selected,Berlin,13.0,1011.0
24.05.2025,13:34,Junior Data Scientist,Data Science,Company 97,Waiting,Berlin,,1000.0
24.05.2025,13:47,ML Engineer at AI Coe,Machine Learning,Company 36,Not selected,Walldorf,2.0,1000.0
24.05.2025,13:49,Data Assistant,Data Science,Company 98,SCAM,Berlin,,1000.0
24.05.2025,13:57,AI Engineer,Data Engineer,Company 99,Not selected,Berlin,7.0,1000.0
24.05.2025,14:17,"Data & Insights Lead, Player Care",Data Science,Company 100,Not selected,Helenski,1.0,1000.0
24.05.2025,16:47,Data Scientist,Data Science,Company 78,Waiting,Berlin,,1000.0
25.05.2025,21:26,ML Engineer & Python Developer,Machine Learning,Company 101,Waiting,Berlin,,1000.0
27.05.2025,21:32,Junior Project Developer ML,Machine Learning,Company 36,Waiting,Berlin,,1111.0
27.05.2025,22:54,Data Analysis,Data Analysis,Company 102,Not selected,Berlin,6.0,1000.0
29.05.2025,22:09,Model Risk Associate,Data Science,Company 21,Not selected,Berlin,11.0,1100.0
31.05.2025,9:15,Decision Science (Data Analyst),Data Analysis,Company 59,Not selected,Berlin,7.0,1000.0
31.05.2025,10:37,Junior Data Scientist,Data Science,Company 103,Waiting,Berlin,,1000.0
31.05.2025,10:54,Junior Decision Engineer,Data Engineer,Company 104,Interview,Berlin,12.0,1000.0
31.05.2025,23:57,Data Engineer,Data Engineer,Company 105,Not selected,Berlin,3.0,1000.0
01.06.2025,9:24,Analytics Engineer/Data Generalist,Data Analysis,Company 106,Not selected,Munich,34.0,1000.0
02.06.2025,9:00,Data Engineer,Data Engineer,Company 106,Waiting,Munich,,1000.0
12.06.2025,16:16,Data Analysis,Data Analysis,Company 107,Not selected,Berlin,70.0,1110.0
12.06.2025,20:05,Analytics Engineer,Data Engineer,Company 108,Not selected,Berlin,1.0,1000.0
12.06.2025,20:18,"Data Scientist, Amazon Music - DISCO",Data Science,Company 109,Not selected,Berlin,2.0,1000.0
12.06.2025,8:35,Meteorological Data Scientist,Data Science,Company 110,Waiting,Berlin,,1000.0
12.06.2025,9:05,Software Engineer,Developer,Company 106,Not selected,Berlin,26.0,1000.0
14.06.2025,10:55,Shop Analytics,Data Analysis,Company 111,Not selected,Hamburg,5.0,1000.0
14.06.2025,11:00,Data Engineer,Data Engineer,Company 112,Not selected,Berlin,12.0,1000.0
17.06.2025,10:30,Data Science Internship,Data Science,Company 113,Waiting,Berlin,,1001.0
17.06.2025,12:45,Data Engineer - Marketing Insights,Data Engineer,Company 114,Not selected,Essen,6.0,1011.0
17.06.2025,12:50,SW Data Intelligence focus ML and Gen AI,Machine Learning,Company 115,Not selected,Cologne,8.0,1001.0
18.06.2025,8:40,Data Analysis,Data Analysis,Company 116,Not selected,Berlin,13.0,1010.0
18.06.2025,10:45,Data Analyst - Product,Data Analysis,Company 102,Not selected,Berlin,5.0,1000.0
18.06.2025,1:35,Data Analyst - Payment,Data Analysis,Company 4,Not selected,Berlin,22.0,1000.0
18.06.2025,14:25,Software Engineer,Developer,Company 117,Not selected,Berlin,8.0,1000.0
20.06.2025,10:42,Machine Learning Engineer,Machine Learning,Company 118,Not selected,Remote,11.0,1000.0
20.06.2025,10:48,Data Analyst Internship,Data Analysis,Company 119,Not selected,Berlin,6.0,1000.0
20.06.2025,11:35,AI Engineer,Data Engineer,Company 102,Not selected,Berlin,23.0,1000.0
20.06.2025,11:47,Quality Assurance Eng Automation,Developer,Company 120,Not selected,Mannheim,0.0,1000.0
20.06.2025,12:35,Data Science Engineering/ Consultant,Data Science,Company 121,Not selected,Hamburg,21.0,1111.0
20.06.2025,13:09,Junior Data Engineer,Data Engineer,Company 122,Not selected,Remote,13.0,1100.0
21.06.2025,21:45,Data Engineer,Data Engineer,Company 123,Not selected,Berlin,5.0,1011.0
22.06.2025,11:50,Data Analysis,Data Analysis,Company 124,Waiting,Berlin,,1000.0
25.06.2025,23:10,Data Analysis,Data Analysis,Company 125,Not selected,Berlin,1.0,1111.0
27.06.2025,18:10,AI Engineer,Data Engineer,Company 43,Interview,Berlin,19.0,1100.0
27.06.2025,18:25,Data Analyst,Data Analysis,Company 126,Waiting,Berlin,,1100.0
27.06.2025,23:25,Data Engineer,Data Engineer,Company 41,Not selected,Berlin,13.0,1011.0
27.06.2025,23:40,Informaticer / Data Science,Data Science,Company 127,Not selected,Essen,6.0,1000.0
28.06.2025,9:55,Junior Data Engineer / Data Science,Data Science,Company 128,Waiting,Fürth,,1111.0
28.06.2025,10:15,Data Exploration Consultant,Data Engineer,Company 129,Not selected,Stuttgart,9.0,1100.0
29.06.2025,17:55,Marketing Data Analysis,Data Analysis,Company 71,Not selected,Berlin,2.0,1000.0
29.06.2025,19:00,Junior Data Scientist,Data Science,Company 130,Interview,Berlin,5.0,1100.0
30.06.2025,8:30,Product Data Analysis,Data Analysis,Company 19,Not selected,Berlin,7.0,1000.0
30.06.2025,12:50,Founding Engineer,Data Engineer,Company 131,Not selected,Berlin,3.0,1000.0
30.06.2025,18:15,Junior Business Analyst,Data Analysis,Company 132,Not selected,Berlin,8.0,1000.0
01.07.2025,9:40,(Product) Data Analysis,Data Analysis,Company 126,Not selected,Berlin,2.0,1100.0
01.07.2025,9:50,Data Science / AI Engineer,Data Science,Company 133,Not selected,Berlin,10.0,1011.0
03.07.2025,12:20,Junior Software Developer Data Goverance,Developer,Company 36,Not selected,Walldorf,5.0,1011.0
03.07.2025,12:30,Applied Scientist - Search/NLP/IR ,Machine Learning,Company 27,Not selected,Berlin,19.0,1011.0
04.07.2025,9:50,NLP Data Scientist - AI Engineer,Machine Learning,Company 134,Not selected,Berlin,14.0,1100.0
04.07.2025,9:55,Junior AI Solution Engineer,Data Science,Company 135,Waiting,Berlin,,1011.0
04.07.2025,10:50,Data Scientist,Data Science,Company 78,Waiting,Berlin,,1111.0
04.07.2025,11:00,Junior Process Automation Specialist - Python ,Data Science,Company 136,Not selected,Berlin,28.0,1000.0
04.07.2025,11:05,AI/ML Engineer,Machine Learning,Company 137,Waiting,Berlin,,1000.0
06.07.2025,21:25,Business Analyst Lidl,Data Analysis,Company 138,Not selected,Berlin,4.0,1011.0
06.07.2025,22:11,Sales Data Analysis,Data Analysis,Company 75,Not selected,Berlin,10.0,1000.0
07.07.2025,23:40,Analytical Linguist,Data Science,Company 139,Not selected,Berlin,2.0,1000.0
08.07.2025,22:05,Data Science Internship,Data Science,Company 140,Interview,Berlin,6.0,1011.0
08.07.2025,22:10,Data Science,Data Science,Company 140,Not selected,Berlin,6.0,1011.0
08.07.2025,22:35,Junior Software Engineer,Data Science,Company 27,Not selected,Berlin,37.0,1011.0
09.07.2025,22:15,Data Engineer BI,Data Engineer,Company 141,Not selected,Berlin,5.0,1011.0
09.07.2025,22:25,Junior Strategy Operation Manager,Developer,Company 142,Not selected,Berlin,4.0,1000.0
